"year","countryCode","species","n_observations","country_name"
1829,"SE","Calidris temminckii",1,"Sweden"
1836,"SE","Calidris maritima",1,"Sweden"
1837,"SE","Calidris minuta",1,"Sweden"
1842,"SE","Calidris maritima",1,"Sweden"
1844,"SE","Calidris ferruginea",1,"Sweden"
1845,"SE","Calidris maritima",1,"Sweden"
1845,"SE","Calidris minuta",1,"Sweden"
1845,"SE","Calidris temminckii",1,"Sweden"
1865,"NO","Calidris maritima",1,"Norway"
1868,"NO","Calidris maritima",1,"Norway"
1868,"NO","Calidris minuta",1,"Norway"
1871,"SE","Calidris maritima",2,"Sweden"
1875,"SE","Calidris maritima",2,"Sweden"
1875,"SE","Calidris temminckii",2,"Sweden"
1876,"SE","Calidris minuta",1,"Sweden"
1877,"SE","Calidris minuta",1,"Sweden"
1879,"NO","Calidris alba",1,"Norway"
1879,"NO","Calidris maritima",1,"Norway"
1880,"NO","Calidris alba",4,"Norway"
1881,"SE","Calidris maritima",1,"Sweden"
1882,"NO","Calidris alba",1,"Norway"
1884,"NO","Calidris maritima",1,"Norway"
1885,"NO","Calidris temminckii",1,"Norway"
1885,"SE","Calidris ferruginea",1,"Sweden"
1885,"SE","Calidris minuta",1,"Sweden"
1886,"NO","Calidris alba",1,"Norway"
1886,"NO","Calidris maritima",1,"Norway"
1887,"NO","Calidris minuta",1,"Norway"
1887,"SE","Calidris ferruginea",3,"Sweden"
1887,"SE","Calidris minuta",1,"Sweden"
1887,"SE","Calidris temminckii",1,"Sweden"
1888,"FI","Calidris temminckii",1,"Finland"
1888,"NO","Calidris maritima",1,"Norway"
1888,"SE","Calidris alpina",2,"Sweden"
1888,"SE","Calidris ferruginea",1,"Sweden"
1888,"SE","Calidris maritima",2,"Sweden"
1888,"SE","Calidris minuta",1,"Sweden"
1888,"SE","Calidris temminckii",1,"Sweden"
1889,"NO","Calidris maritima",1,"Norway"
1889,"NO","Calidris minuta",2,"Norway"
1889,"SE","Calidris ferruginea",7,"Sweden"
1889,"SE","Calidris minuta",1,"Sweden"
1889,"SE","Calidris temminckii",2,"Sweden"
1890,"SE","Calidris ferruginea",1,"Sweden"
1891,"SE","Calidris ferruginea",1,"Sweden"
1892,"NO","Calidris maritima",1,"Norway"
1895,"NO","Calidris ferruginea",2,"Norway"
1895,"NO","Calidris minuta",1,"Norway"
1895,"NO","Calidris temminckii",2,"Norway"
1896,"NO","Calidris ferruginea",3,"Norway"
1896,"NO","Calidris minuta",2,"Norway"
1896,"NO","Calidris temminckii",1,"Norway"
1896,"SE","Calidris alba",1,"Sweden"
1896,"SE","Calidris ferruginea",2,"Sweden"
1897,"NO","Calidris ferruginea",1,"Norway"
1897,"NO","Calidris minuta",2,"Norway"
1897,"NO","Calidris temminckii",1,"Norway"
